url,ten_san_pham,thuong_hieu,gia_ban,sku,mo_ta_ngan,Loại card đồ họa,Loại RAM,Số khe ram,Ổ cứng,CPU,VGA,RAM,Hệ điều hành,Cổng I/O mặt sau,Loại CPU,Dung lượng RAM,Cổng giao tiếp,SSD,Mainboard,Socket,Chipset (PC lắp ráp),Màn hình,Tản nhiệt,Kích thước màn hình,Công nghệ màn hình,Độ phân giải màn hình
https://cellphones.com.vn/pc-cps-quantum-blaze-5070.html,PC CPS Quantum Blaze 5070,intel,Liên hệ,PC.CPS.113,"Mua ngay PC CPS Quantum Blaze 5070 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i7 14700K (SN),VGA MSI GeForce RTX 5070 12GB VENTUS 2X OC,Ram PC Kingston Fury DDR5 5600MHz 32GB (2*16) KF556C40BBK2-32WP,,,,32GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 1TB,Mainboard MSI Z790 Gaming Plus WF DDR5,,Z790,,"Tản nhiệt nước MSI Mag Coreliquid A13 360x3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-creator-ultra-ai-a149.html,PC CPS Creator Ultra AI A149 i9-14900KF / RTX 5070 Ti,intel,Liên hệ,PC.CPS.122,"Mua PC CPS Creator Ultra AI A149 i9-14900K / RTX 5070 Ti chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i9 14900KF,VGA MSI Geforce RTX 5070 Ti 16G Ventus 3X OC,PC Kingston Fury Beast RGB DDR5 5600MHz 64GB (2x32GB),,,,64GB,,SSD Kingston SKC3000 M.2 PCIe Gen 4 NVMe 1TB (SN),MSI Z790 Gaming Plus WF DDR5,,Z790,,Tản Nhiệt Nước Corsair iCUE Link Titan 360 RX RGB Đen Fan Case Corsair RS120 ARGB Black (3 Pack),,,
https://cellphones.com.vn/may-tinh-all-in-one-msi-pro-ap242-12m-213vn.html,Máy tính All In One văn phòng MSI PRO-AP242-12M-213VN,MSI,Liên hệ,may-tinh-all-in-one-msi-pro-ap242-12m-213vn,"Mua  Máy tính All In One văn phòng MSI PRO-AP242-12M-213VN  giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,DDR4 ,"2 x DDR4 3200MHz SO-DIMMs, hỗ trợ đến 64GB",SSD 250GB,,,,Windows 11 Home SL,1x USB 3.2 Gen 2 Type C 1x USB 3.2 Gen 2 Type A 2x USB 3.2 Gen 1 Type A 2x USB 2.0 Type A 1x RJ45 1x HDMI 1x DP 1x Mic- vào,Intel® Core™ i5 12400,8GB,,,,,,,,23.8 inches,,1920 x 1080 pixels (FullHD)
https://cellphones.com.vn/pc-cps-gaming-amd-r565-kem-man-hinh.html,PC CPS Gaming AMD R565 kèm màn hình,Hãng khác,Liên hệ,PC.CPS.140,"Mua PC CPS Gaming AMD R565 kèm màn hình chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,AMD Ryzen 5 5500,VGA Gigabyte Radeon RX 6500 XT Eagle 4GB GV-R65XTEAGLE-4GD,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,MSI B450M-A PRO MAX II,,B450M,Màn hình Gaming ASUS TUF VG259Q5A 25 inch,,,,
https://cellphones.com.vn/pc-cps-do-hoa-d3.html,PC CPS Đồ Hoạ D03 i7 14700F / 16GB - 256GB / RTX 3050,Hãng khác,Liên hệ,PC.DH.03,"Mua ngay PC CPS đồ họa D3 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i7-14700F ,VGA MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI PRO B760M-A WIFI DDR4,LGA 1700,B760M,,"Tản nhiệt khí Xigmatek EPIX IIx3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/may-tinh-all-in-one-asus-a3202wbak-wpb018w.html,Máy tính AIO ASUS A3202WBAK-WPB018W,ASUS,Liên hệ,may-tinh-all-in-one-asus-a3202wbak-wpb018w,"Mua ngay Máy tính AIO ASUS A3202WBAK-WPB018W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,DDR4 3200Mhz,2 khe,512GB M.2 NVMe™ PCIe® 3.0 SSD,,,,Windows 11 Home ,"1x DC-in
1x RJ45 Gigabit Ethernet
1x HDMI out 1.4
3x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C","Intel Core i3-1215U (10MB, up to 4.4GHz, 6 nhân 8 luồng)",8GB,,,,,,,,21.45 inches, Anti-glare display,1920 x 1080 pixels (FullHD)
https://cellphones.com.vn/may-tinh-aio-asus-vm640ga-wpc009w.html,Máy tính AIO ASUS VM640GA-WPC009W,ASUS,Liên hệ,may-tinh-aio-asus-vm640ga-wpc009w,"Mua Máy tính AIO ASUS VM640GA-WPC009W  chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",AMD Radeon 840M,DDR5 SO-DIMM,"2 x SO-DIMM, up to 64GB",512GB SSD M.2 NVMe PCIe 4.0 SSD,,,,Windows 11 Home,,"AMD Ryzen AI 5 430 (2.0 GHz - 4.5GHz / 12MB / 4 nhân, 8 luồng)",16GB,Mặt Sau:3 x USB-A 3.2 Gen 11 x USB-C 3.2 Gen 11 x HDMI 2.1b1 x HDMI in 1.41 x RJ45 Gigabit Ethernet1 x Nguồn vào DCMặt Bên:1 x Kensington lock1 x 3.5mm combo audio jack1 x USB-A 2.0,,,,,,,23.8 inches,16:9Tầm nhìn rộngChống chói loáLED BacklitĐộ sáng 250nits100% sRGBScreen-to-body ratio 93%,1080 x 1920 pixels (FullHD)
https://cellphones.com.vn/pc-cps-gaming-g12.html,PC CPS Gaming G12 i5 12400F / 16GB - 256GB / RX 7600,intel,Liên hệ,PC.GM.12,"Mua ngay PC CPS Gaming G12 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i5-12400F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,HDMIVGABàn phím / ChuộtUSB 3.2 Thế hệ 1 5Gbps (Loại A)LANCổng âm thanh2 x USB 2.0,,16GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro B760M-E DDR4,LGA 1700,B760M,,Tản nhiệt khí Xigmatek EPIX II,,,
https://cellphones.com.vn/pc-cps-asus-gaming-intel-i3-gen-12.html,PC CPS X ASUS Gaming Intel i3 Gen 12 Kèm màn hình,ASUS,Liên hệ,PC.CPS.100,"Mua ngay PC CPS X ASUS Gaming Intel i3 Gen 12 Kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i3 12100F,Asus Dual Radeon RX 6500 XT OC 4GB DUAL-RX6500XT-O4G-V2,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Asus PRIME H610M-K D4,,H610M,Màn hình Gaming ASUS TUF VG249QE5A 24 inch (FHD/IPS/146HZ/1MS),,,,
https://cellphones.com.vn/may-tinh-aio-asus-e3202wvak-bpb008w.html,Máy tính AIO ASUS E3202WVAK-BPB008W,ASUS,Liên hệ,may-tinh-aio-asus-e3202wvak-bpb008w,"Mua ngay Máy tính AIO ASUS E3202WVAK-BPB008W giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel UHD Graphics,DDR4 SO-DIMM,Bộ nhớ tối đa lên tới 64GB DDR4,"SSD 512GB M.2 NVMe PCIe 3.0, Không có HDD",,,,Windows 11 Home,"1x DC-in
1x RJ45 Gigabit Ethernet
1x HDMI ra 1.4
1x HDMI vào 1.4
3x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C","Intel Core i3-1315U 1.2 GHz (10M Cache, up to 4.5 GHz, 6 lõi)",8GB,,,,,,,,21.45 inches,Tỷ lệ màn hình 16:9  Góc nhìn rộngMàn hình chống chói Đèn nền LEDĐộ sáng 250 nitĐộ phủ màu sRGB: 100% Tỷ lệ màn hình trên kích thước 86%,1920 x 1080 pixels (FullHD)
https://cellphones.com.vn/pc-cps-msi-gaming-amd-r5.html,PC CPS X MSI Gaming AMD R5 Kèm màn hình,MSI,Liên hệ,PC.CPS.98,"Mua ngay PC CPS X MSI Gaming AMD R5 Kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,AMD Ryzen 5 5500,GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI B450M-A Pro Max II,,,Màn hình Gaming MSI MAG 245PF X24 24 inch,,,,
https://cellphones.com.vn/pc-cps-creator-ultra-ai-a950.html,PC CPS Creator Ultra AI A950 AMD Ryzen 9 9950X3D / RTX 5070 Ti,Hãng khác,Liên hệ,PC.CPS.123,"Mua PC CPS Creator Ultra AI A950 AMD Ryzen 9 9950X / RTX 5070 Ti chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU AMD Ryzen 9 9950X3D,VGA MSI Geforce RTX 5070 Ti 16G Ventus 3X OC,PC Kingston Fury Beast RGB DDR5 5600MHz 64GB (2x32GB),,,,64GB,,SSD Kingston SKC3000 M.2 PCIe Gen 4 NVMe 1TB (SN),Mainboard Asrock X870 Pro RS Wifi D5,,X670E,,Tản Nhiệt Nước Corsair iCUE Link Titan 360 RX RGB Đen Fan Case Corsair RS120 ARGB Black (3 Pack),,,
https://cellphones.com.vn/pc-cps-van-phong-s4.html,PC CPS văn phòng S04 i5 12500 / 8GB - 256GB,Hãng khác,Liên hệ,PC.VP.04,"Mua ngay PC CPS văn phòng S04 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i5-12500,Onboard,Ram PC VSP DDR4 3200MHZ 8GB (1*8GB),,,,8GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard ASRock H610M-HVS/M.2 R2.0,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-gaming-g5.html,PC CPS Gaming G05 i3 12100F / 8GB - 256GB / RX 7600,Hãng khác,Liên hệ,PC.GM.05,"Mua ngayPC CPS Gaming G5 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i3-12100F,VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,16GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-do-hoa-d4.html,PC CPS Đồ Hoạ D04 i7 14700F / 16GB - 512GB / RTX 5060,Hãng khác,Liên hệ,PC.DH.04,"Mua ngay PC CPS đồ họa D4 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i7-14700F,VGA MSI Geforce RTX 5060 8GB Shadow 2X OC,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 512GB,Mainboard MSI PRO B760M-A WIFI DDR4,LGA 1700,B760M,,"Tản nhiệt nước Xigmatek Fenix II 240 x3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-cps-msi-gaming-intel-i3-gen-12.html,PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình,MSI,Liên hệ,PC.CPS.92,"Mua ngay PC CPS X MSI Gaming Intel i3 Gen 12 Kèm màn hình giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,Intel Core i3 12100F,MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,MAINBOARD MSI PRO H610M-S DDR4,,H610M,Màn hình MSI Pro MP243L E14 24 inch (FHD/IPS/144HZ/1MS),,,,
https://cellphones.com.vn/pc-cps-gaming-g11.html,PC CPS Gaming G11 i3 12100F / 8GB - 256GB / RTX 3050,intel,Liên hệ,PC.GM.11,"Mua ngay PC CPS Gaming G11 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Geforce RTX 3050,1 x 8GB DDR4 3200MHz,2 x DDR4,SSD 256GB M2 PCIe,Intel Core i3-12100F,Geforce RTX 3050,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,HDMIVGABàn phím / ChuộtUSB 3.2 Gen 1 5Gbps Type-ALANAudio connectorUSB 2.0,Intel Core i3-12100F,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,,,,
https://cellphones.com.vn/pc-cps-creator-pro-146.html,PC CPS Creator Pro 146 i5-14600K / RX 7600,intel,Liên hệ,PC.CPS.116,"Mua PC CPS Creator Pro 146 i5-14600K / RTX 3060 chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i5 14600K (Tray),VGA Asus Phoenix Radeon RX 7600 OC 8GB DUAL-RX7600-O8G-EVO,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,16GB,,SSD Adata Legend 860 PCIe Gen4 X4 M.2 2280 (R 6000/W 5000) 500GB,MSI Pro B760M-A WiFi DDR4,,B760M,,"Tản nhiệt khí Xigmatek EPIX IIQuạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/may-tinh-pc-cps-van-phong-s08.html,PC CPS văn phòng S08 i7 14700 / 16GB - 256GB,intel,Liên hệ,PC.VP.08,"Mua ngay PC CPS văn phòng S08 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i7 14700,Onboard ,Ram PC Kingston Fury Beast DDR4 3200MHz 16GB KF432C16BB1/16WP,,,,16GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard MSI Pro B760M-E DDR4,LGA 1700,B760M,,,,,
https://cellphones.com.vn/pc-cps-gaming-amd-r566-kem-man-hinh.html,PC CPS Gaming AMD R566 kèm màn hình,Hãng khác,Liên hệ,PC.CPS.139,"Mua PC CPS Gaming AMD R566 kèm màn hình chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",,,,,AMD Ryzen 5 5500,VGA MSI Geforce RTX 3050 Ventus 2X E 6G OC,RAM PC Kingston Fury Beast DDR4 3200MHz 8GB KF432C16BB/8WP,,,,8GB,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,MSI B450M-A PRO MAX II,,B450M,Màn hình MSI Pro MP243L E14 24 inch (FHD/IPS/144HZ/1MS),,,,
https://cellphones.com.vn/may-tinh-aio-asus-vm640ga-wpc010w.html,Máy tính AIO ASUS VM640GA-WPC010W,ASUS,Liên hệ,may-tinh-aio-asus-vm640ga-wpc010w,"Mua Máy tính AIO ASUS VM640GA-WPC010W chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ giao hàng tận nơi toàn quốc.",AMD Radeon 840M,DDR5 SO-DIMM,"2 x SO-DIMM, up to 64GB",512GB SSD M.2 NVMe PCIe 4.0 SSD,,,,Windows 11 Home,,"AMD Ryzen AI 7 445 (2.0 GHz - 4.6GHz / 14MB / 6 nhân, 12 luồng)",16GB,Mặt Sau:3 x USB-A 3.2 Gen 11 x USB-C 3.2 Gen 11 x HDMI 2.1b1 x HDMI in 1.41 x RJ45 Gigabit Ethernet1 x Nguồn vào DCMặt Bên:1 x Kensington lock1 x 3.5mm combo audio jack1 x USB-A 2.0,,,,,,,23.8 inches,16:9Tầm nhìn rộngChống chói loáLED BacklitĐộ sáng 250nits100% sRGBScreen-to-body ratio 93%,1080 x 1920 pixels (FullHD)
https://cellphones.com.vn/pc-cps-gaming-intel-i5-gen-12.html,PC CPS Gaming Intel i5 Gen 12 kèm màn hình - Trắng Hồng,Hãng khác,Liên hệ,PC.CPS.109,"Mua ngay PC CPS Gaming Intel i5 Gen 12 kèm màn hình - Trắng Hồng giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i5 12400F,VGA MSI GeForce RTX 3050 VENTUS 2X 6G OC,RAM PC ADATA XPG D50 RGB 8GB (1x8GB) 3200MHz DDR4,,,,,,Ổ cứng SSD Transcend 110S NVMe PCIe Gen3 x4 256GB,Mainboard MSI Pro B760M-E DDR4,LGA 1700,B760M,Màn hình ASUS VU249CFE 24 inch,"Tản nhiệt khí Xigmatek EPIX IIx3 Quạt led Xigmatek Infinity Pro 3 (ARGB, 3 Side Infinity)",,,
https://cellphones.com.vn/pc-gaming-cps-x-msi-intel-i5-gen-12-rtx-3060.html,PC CPS x MSI Gaming Intel I5 Gen 12 RTX 3060 12GB,MSI,Liên hệ,PC.CPS.145,"Mua PC CPS x MSI Gaming Intel I5 Gen 12 RTX 3060 12GB chính hãng - Giá rẻ, đảm bảo chất lượng, độ bền cao, hỗ trợ trả góp 0%, giao hàng miễn phí toàn quốc.",,,,,CPU Intel Core i5 12400F,VGA MSI GeForce RTX 3060 VENTUS 2X 12G OC,RAM PC ADATA XPG D50 RGB 16GB (1x16GB) 3200MHz DDR4,,,,16GB,,Ổ cứng SSD Kingston NV3 PCIe 4.0 NVMe 500GB,Mainboard MSI Pro B760M-E DDR4,,B760M,,,,,
https://cellphones.com.vn/may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-white-u7.html,PC Mini Asus NUC 14 PRO+ Revel Canyon White U7,ASUS,Liên hệ,may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-white-u7,"Mua ngay PC Mini Asus NUC 14 PRO+ Revel Canyon White U7 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Arc Graphics,DDR5,,1 x M.2 2280 PCIe Gen4x4 NVMe 512GB hoặc 1TB SSD *1x Khe cắm SSD M.2 2242 PCIe x4 NVMe cho thẻ bổ sung,,,,No OS,"2 x Thunderbolt 4 Type-C Ports
1 x USB 3.2 Gen 2 Type-A
1 x 2.0 Type-A
2 x HDMI 2.1 (TMDS) ports
1 x RJ45 LAN Port
1 x DC-in
1 x Kensington Lock", Intel Core Ultra 7 155H ,,,,,,,,,,,
https://cellphones.com.vn/may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u5.html,PC Mini Asus NUC 14 Pro Revel Canyon U5,ASUS,Liên hệ,may-tinh-pc-mini-asus-nuc-14-pro-revel-canyon-u5,"Mua PC Mini Asus NUC 14 Pro Revel Canyon U5 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",Intel Arc Graphics ,DDR5 SO-DIMM,"2 x SO-DIMM , DDR5-5600MHz memory, up to 48GB x2","Hỗ trợ khe cắm SSD 1 x M.2 2280 PCIe Gen4x4 NVMe Hỗ trợ khe cắm SSD 1x M.2 2242 PCIe x4 NVMe 1x khe cắm SATA 2,5in cho hỗ trợ SSD/HDD Lưu ý: Chỉ hỗ trợ ổ cứng 2,5&quot; trên SKU CAO",Intel Core Ultra 5 125H,Intel Arc Graphics,DDR5 SO-DIMM,,"2 x Thunderbolt 4 Type-C Ports 
1 x USB 3.2 Gen 2 Type-A 
1 x 2.0 Type-A 
2 x HDMI 2.1 (TMDS) ports 
1 x RJ45 LAN Port 
1 x DC-in",Intel Core Ultra 5 125H,,1x USB-C 3.2 Gen 2x2 20Gbps 2x USB-A 3.2 Gen 2 2x Thunderbolt 4 1x USB-A 3.2 Gen 2 1x USB-A 2.0 2x HDMI 2.1 1x LAN 2.5Gb,,,,,,,,,
https://cellphones.com.vn/may-tinh-pc-cps-van-phong-s06.html,PC CPS Văn Phòng S06 i3 14100 / 16GB - 256GB,intel,Liên hệ,PC.VP.06,"Mua PC CPS Văn Phòng S06 giá rẻ - Hỗ trợ trả góp 0%, đổi mới 30 ngày, bảo hành chính hãng, giao hàng tận nơi miễn phí.",,,,,CPU Intel Core i3 14100,Onboard,Ram PC Kingston Fury Beast DDR4 3200MHz 16GB KF432C16BB1/16WP,,,,16GB,,Ổ cứng SSD VSP 860G SATA III 2.5&quot; 256GB,Mainboard MSI Pro H610M-S DDR4,LGA 1700,H610M,,Tản nhiệt khí CPU Jonsbo CR-1200E RGB,,,
